City-Pair,Passengers,MktFare,MktDistance,MktMilesFlown,NonStopMiles,Passengers_Actual
EWR-SFO,31831,780.41223,2589.7678715670436,2589.7678715670436,2565.0,318310
LGA-ORD,28599,317.67676,733.1437651897551,733.1437651897551,733.0,285990
EWR-LAX,27189,681.54694,2468.47694158535,2468.47694158535,2454.0,271890
ORD-SFO,23027,433.78226,1879.070885256514,1879.070885256514,1846.0,230270
EWR-MCO,22009,316.27386,946.7147912243454,946.7147912243454,937.0,220090
EWR-ORD,18637,329.31848,729.9326186830016,729.9326186830016,719.0,186370
IAD-LAX,16390,439.60367,2301.1779975278123,2301.1779975278123,2288.0,163900
DEN-ORD,15631,294.163,920.8155697445973,920.8155697445973,888.0,156310
LAX-ORD,15588,386.23837,1760.986095537116,1760.986095537116,1744.0,155880
EWR-LAS,15103,487.83536,2243.8799188640974,2243.8799188640974,2227.0,151030
EWR-PBI,14938,350.7434,1024.5107913669065,1024.5107913669065,1023.0,149380
EWR-FLL,14544,320.69693,1069.6843998971988,1069.6843998971988,1065.0,145440
LAX-SFO,14333,212.52248,340.6813271604938,340.6813271604938,337.0,143330
IAH-LGA,14206,373.65607,1419.924578527063,1419.924578527063,1416.0,142060
BOS-ORD,14114,258.33566,869.6672108843537,869.6672108843537,867.0,141140
DCA-ORD,13908,262.36047,612.0,612.0,612.0,139080
DEN-SFO,13776,301.23383,985.7296340023613,985.7296340023613,967.0,137760
IAD-SFO,13730,530.457,2441.6555938037864,2441.6555938037864,2419.0,137300
IAH-ORD,13541,305.26233,953.1888780009799,953.1888780009799,925.0,135410
SAN-SFO,13476,194.87923,446.9986454453099,446.9986454453099,447.0,134760
